FechaCompleta,IDTiempo,Año,Mes,Dia
2024-11-02,20241102,2024,11,2
2024-05-25,20240525,2024,5,25
2024-01-29,20240129,2024,1,29
2024-03-04,20240304,2024,3,4
2024-07-22,20240722,2024,7,22
2024-06-22,20240622,2024,6,22
2024-12-04,20241204,2024,12,4
2024-12-13,20241213,2024,12,13
2024-11-18,20241118,2024,11,18
2024-09-15,20240915,2024,9,15
2024-12-20,20241220,2024,12,20
2024-09-21,20240921,2024,9,21
2024-05-08,20240508,2024,5,8
2024-09-25,20240925,2024,9,25
2024-06-25,20240625,2024,6,25
2024-02-20,20240220,2024,2,20
2024-01-30,20240130,2024,1,30
2024-11-13,20241113,2024,11,13
2024-05-22,20240522,2024,5,22
2024-04-05,20240405,2024,4,5
2024-07-12,20240712,2024,7,12
2024-02-08,20240208,2024,2,8
2024-07-19,20240719,2024,7,19
2024-08-16,20240816,2024,8,16
2024-09-05,20240905,2024,9,5
2024-12-21,20241221,2024,12,21
2024-07-25,20240725,2024,7,25
2024-11-08,20241108,2024,11,8
2024-02-23,20240223,2024,2,23
2024-08-23,20240823,2024,8,23
2024-02-12,20240212,2024,2,12
2024-04-24,20240424,2024,4,24
2024-09-13,20240913,2024,9,13
2024-07-16,20240716,2024,7,16
2024-07-29,20240729,2024,7,29
2024-01-07,20240107,2024,1,7
2024-01-02,20240102,2024,1,2
2024-09-17,20240917,2024,9,17
2024-05-23,20240523,2024,5,23
2024-12-27,20241227,2024,12,27
2024-10-03,20241003,2024,10,3
2024-03-07,20240307,2024,3,7
2024-04-20,20240420,2024,4,20
2024-07-02,20240702,2024,7,2
2024-10-18,20241018,2024,10,18
2024-01-03,20240103,2024,1,3
2024-08-07,20240807,2024,8,7
2024-05-30,20240530,2024,5,30
2024-09-08,20240908,2024,9,8
2024-06-29,20240629,2024,6,29
2024-07-18,20240718,2024,7,18
2024-08-13,20240813,2024,8,13
2024-10-14,20241014,2024,10,14
2024-08-27,20240827,2024,8,27
2024-01-15,20240115,2024,1,15
2024-11-06,20241106,2024,11,6
2024-05-11,20240511,2024,5,11
2024-05-04,20240504,2024,5,4
2024-07-14,20240714,2024,7,14
2024-03-27,20240327,2024,3,27
2024-10-09,20241009,2024,10,9
2024-01-08,20240108,2024,1,8
2024-04-14,20240414,2024,4,14
2024-11-15,20241115,2024,11,15
2024-11-19,20241119,2024,11,19
2024-03-01,20240301,2024,3,1
2024-04-15,20240415,2024,4,15
2024-01-01,20240101,2024,1,1
2024-05-07,20240507,2024,5,7
2024-02-03,20240203,2024,2,3
2024-02-24,20240224,2024,2,24
2024-04-16,20240416,2024,4,16
2024-03-26,20240326,2024,3,26
2024-12-19,20241219,2024,12,19
2024-12-29,20241229,2024,12,29
2024-11-21,20241121,2024,11,21
2024-07-15,20240715,2024,7,15
2024-05-26,20240526,2024,5,26
2024-09-23,20240923,2024,9,23
2024-06-07,20240607,2024,6,7
2024-08-29,20240829,2024,8,29
2024-06-05,20240605,2024,6,5
2024-07-01,20240701,2024,7,1
2024-12-08,20241208,2024,12,8
2024-04-27,20240427,2024,4,27
2024-12-14,20241214,2024,12,14
2024-10-17,20241017,2024,10,17
2024-08-15,20240815,2024,8,15
2024-01-27,20240127,2024,1,27
2024-03-15,20240315,2024,3,15
2024-10-06,20241006,2024,10,6
2024-10-23,20241023,2024,10,23
2024-07-28,20240728,2024,7,28
2024-09-24,20240924,2024,9,24
2024-05-10,20240510,2024,5,10
2024-01-17,20240117,2024,1,17
2024-02-04,20240204,2024,2,4
2024-11-09,20241109,2024,11,9
2024-03-10,20240310,2024,3,10
2024-09-16,20240916,2024,9,16
2024-03-06,20240306,2024,3,6
2024-02-02,20240202,2024,2,2
2024-04-04,20240404,2024,4,4
2024-10-25,20241025,2024,10,25
2024-09-14,20240914,2024,9,14
2024-02-10,20240210,2024,2,10
2024-08-20,20240820,2024,8,20
2024-02-18,20240218,2024,2,18
2024-07-26,20240726,2024,7,26
2024-07-30,20240730,2024,7,30
2024-08-09,20240809,2024,8,9
2024-01-13,20240113,2024,1,13
2024-02-15,20240215,2024,2,15
2024-07-09,20240709,2024,7,9
2024-02-22,20240222,2024,2,22
2024-08-17,20240817,2024,8,17
2024-06-12,20240612,2024,6,12
2024-12-12,20241212,2024,12,12
2024-08-26,20240826,2024,8,26
2024-04-23,20240423,2024,4,23
2024-03-03,20240303,2024,3,3
2024-07-03,20240703,2024,7,3
2024-09-27,20240927,2024,9,27
2024-01-16,20240116,2024,1,16
2024-07-11,20240711,2024,7,11
2024-08-28,20240828,2024,8,28
